source,type,score,scored_by,status,episodes,members
manga,tv,7.9,312819,finished_airing,24.0,651680
manga,ova,8.04,206548,finished_airing,6.0,379288
manga,tv,8.17,155352,currently_airing,,337502
manga,tv,7.86,380107,finished_airing,167.0,771503
light_novel,movie,8.23,139840,finished_airing,1.0,264481
manga,tv,8.0,220101,finished_airing,13.0,526150
manga,tv,8.73,102183,finished_airing,10.0,256673
manga,tv,8.65,105307,finished_airing,13.0,237984
manga,tv,8.81,98975,finished_airing,12.0,202563
manga,ona,8.62,105448,finished_airing,14.0,160742
visual_novel,special,8.04,193600,finished_airing,1.0,311474
manga,tv,8.23,137252,finished_airing,13.0,347329
manga,tv,8.02,199981,finished_airing,24.0,378305
manga,movie,8.85,96459,finished_airing,1.0,198897
original,tv,7.75,947451,finished_airing,13.0,1550247
light_novel,tv,8.06,182211,finished_airing,12.0,369153
light_novel,tv,7.75,931213,finished_airing,13.0,1517345
manga,movie,8.08,174376,finished_airing,1.0,290819
original,tv,8.06,180315,finished_airing,50.0,428468
manga,tv,8.18,142881,finished_airing,24.0,320168
manga,tv,7.91,256937,finished_airing,24.0,584664
manga,tv,8.2,138720,finished_airing,26.0,274416
manga,tv,7.9,264431,finished_airing,12.0,548444
manga,tv,8.27,127264,finished_airing,23.0,307951
light_novel,tv,7.93,234336,finished_airing,5.0,416981
manga,movie,8.2,136633,finished_airing,1.0,216262
manga,tv,8.05,174335,finished_airing,12.0,319613
manga,tv,8.52,102122,finished_airing,26.0,221961
light_novel,tv,7.76,607187,finished_airing,13.0,977174
light_novel,movie,8.39,109413,finished_airing,1.0,201786
original,movie,8.57,97837,finished_airing,1.0,208647
manga,tv,8.88,90643,finished_airing,14.0,188212
manga,ona,7.75,665953,finished_airing,10.0,1095582
manga,tv,8.0,190420,finished_airing,12.0,337667
manga,special,8.22,130133,finished_airing,1.0,242240
original,tv,7.88,262946,finished_airing,13.0,493076
light_novel,tv,7.97,198311,finished_airing,12.0,385606
manga,tv,7.81,381090,finished_airing,24.0,725524
novel,tv,8.0,184119,finished_airing,13.0,441348
manga,tv,8.52,97906,finished_airing,13.0,193297
light_novel,movie,8.45,101870,finished_airing,6.0,216504
light_novel,tv,8.03,172465,finished_airing,12.0,290387
manga,tv,7.97,193335,finished_airing,12.0,347625
manga,tv,8.33,112387,finished_airing,25.0,230642
manga,tv,7.86,274645,finished_airing,60.0,581664
original,tv,7.9,232360,finished_airing,23.0,625765
manga,ova,7.87,260944,finished_airing,3.0,446179
original,movie,8.39,104698,finished_airing,1.0,254295
manga,movie,8.08,151877,finished_airing,1.0,242532
original,tv,7.83,317324,finished_airing,12.0,694689
manga,movie,7.79,389135,finished_airing,1.0,583139
novel,tv,8.3,113361,finished_airing,13.0,218937
manga,tv,8.16,132050,finished_airing,11.0,377959
novel,movie,8.05,156135,finished_airing,1.0,284742
visual_novel,special,7.93,199891,finished_airing,1.0,300270
manga,tv,8.57,91885,finished_airing,13.0,283303
manga,tv,7.88,236264,finished_airing,12.0,382676
web_manga,tv,8.17,129217,finished_airing,12.0,270322
manga,tv,8.05,154484,finished_airing,50.0,294796
web_manga,tv,8.21,123576,finished_airing,12.0,325811
manga,tv,7.84,275358,finished_airing,12.0,562270
manga,special,8.2,124965,finished_airing,1.0,208736
manga,ova,8.02,164072,finished_airing,5.0,287713
light_novel,movie,8.11,138671,finished_airing,1.0,259324
light_novel,tv,7.74,528681,finished_airing,24.0,999575
light_novel,movie,8.15,131207,finished_airing,1.0,253847
manga,movie,8.52,91964,finished_airing,1.0,158593
light_novel,tv,7.71,757072,finished_airing,12.0,1314917
manga,tv,8.08,140705,finished_airing,12.0,291108
light_novel,tv,7.73,538346,finished_airing,12.0,1135162
original,tv,7.81,306577,finished_airing,25.0,622976
manga,tv,8.13,132215,finished_airing,12.0,322218
manga,tv,8.16,126676,finished_airing,13.0,205763
original,movie,8.37,97810,finished_airing,1.0,196657
manga,tv,7.71,684668,finished_airing,24.0,1268092
manga,tv,8.05,145423,finished_airing,21.0,296655
novel,movie,7.89,209848,finished_airing,1.0,333376
manga,tv,7.84,252820,finished_airing,13.0,467140
light_novel,ova,7.84,251587,finished_airing,1.0,389587
manga,tv,7.9,198815,finished_airing,12.0,493536
light_novel,tv,7.75,412094,finished_airing,13.0,813280
manga,tv,8.08,137816,finished_airing,25.0,262941
manga,ona,8.11,130810,finished_airing,6.0,211976
other,movie,8.21,114281,finished_airing,1.0,219102
manga,tv,7.66,1301404,finished_airing,24.0,1989616
manga,tv,8.27,104526,finished_airing,13.0,232391
manga,tv,8.53,87445,finished_airing,13.0,209063
light_novel,tv,8.0,149330,finished_airing,14.0,287193
light_novel,ova,8.03,141478,finished_airing,1.0,240153
manga,tv,7.94,170504,finished_airing,12.0,414762
manga,movie,8.22,108550,finished_airing,1.0,174948
manga,tv,8.24,105512,finished_airing,12.0,192777
4_koma_manga,tv,7.99,148577,finished_airing,26.0,333656
novel,ova,9.02,76123,finished_airing,110.0,307951
manga,ona,8.11,126126,finished_airing,12.0,218199
manga,tv,8.25,102831,finished_airing,26.0,187206
manga,tv,8.2,109527,finished_airing,12.0,254705
manga,tv,8.09,128485,finished_airing,11.0,285842
original,tv,8.43,88614,finished_airing,12.0,312624
original,movie,7.92,171861,finished_airing,1.0,373149
manga,tv,8.42,88566,finished_airing,13.0,166801
light_novel,special,7.93,167161,finished_airing,4.0,254916
manga,tv,7.76,320371,finished_airing,12.0,650452
